Strategy report
Symbol: AAPL
Work Time: 4/8/20 3:05 AM - 8/14/20 6:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$260.00;4/8/20 3:05 AM;$0.00;($0.77);-1.0;
2;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|260.77|260.77|260.77|260.77|260);Buy to Open;1.0;$260.00;4/8/20 3:05 AM;;$0.00;0.0;
3;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$260.77;4/8/20 3:10 AM;$0.00;$0.77;-1.0;
4;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|260|260|260|260|260.77);Buy to Open;1.0;$260.77;4/8/20 3:10 AM;;$0.00;0.0;
5;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$260.00;4/8/20 3:20 AM;$0.00;$0.84;-1.0;
6;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.16|259.16|259.16|259.16|260);Buy to Open;1.0;$260.00;4/8/20 3:20 AM;;$0.00;0.0;
7;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.16;4/8/20 3:25 AM;$0.00;$0.71;-1.0;
8;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|258.58|258.58|258.45|258.45|259.16);Buy to Open;1.0;$259.16;4/8/20 3:25 AM;;$0.00;0.0;
9;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$258.58;4/8/20 3:30 AM;$0.13;$0.78;-1.0;
10;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|257.44|257.8|257.42|257.8|258.45);Buy to Open;1.0;$258.45;4/8/20 3:30 AM;;$0.13;0.0;
11;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$257.80;4/8/20 3:55 AM;$0.38;($1.39);-1.0;
12;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.07|259.32|259.07|259.32|257.8);Buy to Open;1.0;$257.42;4/8/20 3:55 AM;;$0.51;0.0;
13;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.32;4/8/20 4:10 AM;$0.25;$0.63;-1.0;
14;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.26|259.26|259.2|259.2|259.32);Buy to Open;1.0;$259.07;4/8/20 4:10 AM;;$0.76;0.0;
15;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.26;4/8/20 4:25 AM;$0.06;$1.02;-1.0;
16;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|258.7|259|258.7|259|259.2);Buy to Open;1.0;$259.20;4/8/20 4:25 AM;;$0.82;0.0;
17;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.00;4/8/20 4:30 AM;$0.30;$0.82;-1.0;
18;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259|259|259|259|259);Buy to Open;1.0;$258.70;4/8/20 4:30 AM;;$1.12;0.0;
19;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.00;4/8/20 4:40 AM;$0.00;$0.78;-1.0;
20;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.34|259.34|259.34|259.34|259);Buy to Open;1.0;$259.00;4/8/20 4:40 AM;;$1.12;0.0;
21;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.34;4/8/20 4:45 AM;$0.00;$1.07;-1.0;
22;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.4|259.4|259.39|259.39|259.34);Buy to Open;1.0;$259.34;4/8/20 4:45 AM;;$1.12;0.0;
23;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.40;4/8/20 4:50 AM;$0.01;$1.82;-1.0;
24;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.29|259.29|258.7|258.7|259.39);Buy to Open;1.0;$259.39;4/8/20 4:50 AM;;$1.13;0.0;
25;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.29;4/8/20 5:00 AM;$0.59;$1.62;-1.0;
26;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|258.8|258.8|258.8|258.8|258.7);Buy to Open;1.0;$258.70;4/8/20 5:00 AM;;$1.72;0.0;
27;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$258.80;4/8/20 5:20 AM;$0.00;$0.85;-1.0;
28;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.67|259.67|259.67|259.67|258.8);Buy to Open;1.0;$258.80;4/8/20 5:20 AM;;$1.72;0.0;
29;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$259.67;4/8/20 5:30 AM;$0.00;$1.39;-1.0;
30;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.94|260|259.94|260|259.67);Buy to Open;1.0;$259.67;4/8/20 5:30 AM;;$1.72;0.0;
31;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$260.00;4/8/20 5:35 AM;$0.06;$1.22;-1.0;
32;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|259.98|260.5|259.68|260.5|260);Buy to Open;1.0;$259.94;4/8/20 5:35 AM;;$1.78;0.0;
33;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$260.50;4/8/20 5:40 AM;$0.82;$1.29;-1.0;
34;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|260.5|260.99|260.48|260.99|260.5);Buy to Open;1.0;$259.68;4/8/20 5:40 AM;;$2.60;0.0;
35;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$260.99;4/8/20 5:45 AM;$0.51;$3.03;-1.0;
36;shared_kg_EveryTickSOHLCP(SOHLCP|AAPL|260.94|260.98|260.56|260.56|260.99);Buy to Open;1.0;$260.48;4/8/20 5:45 AM;;$3.11;0.0;
37;shared_kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$260.98;4/8/20 5:50 AM;$0.42;$3.54;-1.0;
