,Symbol,Open,High,Low,Close,PrevClose,DateTime,Date,Time
0,AAPL,250.87,251.3,250.87,251.17,250.87,2020-04-06 08:30:00,2020-04-06,08:30:00
1,AAPL,251.22,251.5,251.1,251.5,251.17,2020-04-06 08:30:00,2020-04-06,08:30:00
2,AAPL,251.5,251.695,251.45,251.54,251.5,2020-04-06 08:30:00,2020-04-06,08:30:00
3,AAPL,251.6299,251.6299,251.21,251.35,251.54,2020-04-06 08:30:00,2020-04-06,08:30:00
4,AAPL,251.36,251.57,251.24,251.49,251.35,2020-04-06 08:30:00,2020-04-06,08:30:00
5,AAPL,251.5,251.5468,251.3,251.44,251.49,2020-04-06 08:30:00,2020-04-06,08:30:00
6,AAPL,251.41,251.6298,251.22,251.31,251.44,2020-04-06 08:30:00,2020-04-06,08:30:00
7,AAPL,251.31,251.46,251.2,251.3,251.31,2020-04-06 08:30:00,2020-04-06,08:30:00
8,AAPL,251.3,251.36,251.16,251.21,251.3,2020-04-06 08:30:00,2020-04-06,08:30:00
9,AAPL,251.14,251.54,251.0,251.46,251.21,2020-04-06 08:30:00,2020-04-06,08:30:00
10,AAPL,251.45,251.53,251.05,251.05,251.46,2020-04-06 08:30:00,2020-04-06,08:30:00
11,AAPL,251.03,251.14,250.83,250.9,251.05,2020-04-06 08:30:00,2020-04-06,08:30:00
12,AAPL,250.91,251.05,250.77,250.9,250.9,2020-04-06 08:31:00,2020-04-06,08:31:00
13,AAPL,250.9,251.19,250.8132,250.87,250.9,2020-04-06 08:31:00,2020-04-06,08:31:00
14,AAPL,250.88,251.0,250.73,251.0,250.87,2020-04-06 08:31:00,2020-04-06,08:31:00
15,AAPL,251.0,251.09,250.56,250.76,251.0,2020-04-06 08:31:00,2020-04-06,08:31:00
16,AAPL,250.76,250.98,250.57,250.72,250.76,2020-04-06 08:31:00,2020-04-06,08:31:00
17,AAPL,250.7,250.95,250.66,250.74,250.72,2020-04-06 08:31:00,2020-04-06,08:31:00
18,AAPL,250.75,250.96,250.68,250.8148,250.74,2020-04-06 08:32:00,2020-04-06,08:32:00
19,AAPL,250.87,250.92,250.59,250.78,250.8148,2020-04-06 08:32:00,2020-04-06,08:32:00
20,AAPL,250.79,250.86,250.62,250.85,250.78,2020-04-06 08:32:00,2020-04-06,08:32:00
21,AAPL,250.85,250.85,250.52,250.5932,250.85,2020-04-06 08:32:00,2020-04-06,08:32:00
22,AAPL,250.55599999999998,250.8,250.25,250.25,250.5932,2020-04-06 08:32:00,2020-04-06,08:32:00
23,AAPL,250.24,250.47,250.2,250.36,250.25,2020-04-06 08:32:00,2020-04-06,08:32:00
24,AAPL,250.36,250.44,250.08,250.41,250.36,2020-04-06 08:32:00,2020-04-06,08:32:00
25,AAPL,250.41,250.5,250.14,250.14,250.41,2020-04-06 08:33:00,2020-04-06,08:33:00
26,AAPL,250.12,250.54,250.09,250.22,250.14,2020-04-06 08:33:00,2020-04-06,08:33:00
27,AAPL,250.19,250.4,250.14,250.39,250.22,2020-04-06 08:33:00,2020-04-06,08:33:00
28,AAPL,250.39,250.58,250.27,250.58,250.39,2020-04-06 08:33:00,2020-04-06,08:33:00
29,AAPL,250.59,250.73,250.39,250.39,250.58,2020-04-06 08:33:00,2020-04-06,08:33:00
30,AAPL,250.39,250.75,250.34,250.74,250.39,2020-04-06 08:33:00,2020-04-06,08:33:00
31,AAPL,250.75,250.76,250.3,250.3894,250.74,2020-04-06 08:33:00,2020-04-06,08:33:00
32,AAPL,250.43,250.5585,250.26,250.28,250.3894,2020-04-06 08:34:00,2020-04-06,08:34:00
33,AAPL,250.28,250.4,250.14,250.18,250.28,2020-04-06 08:34:00,2020-04-06,08:34:00
34,AAPL,250.18,250.38,250.14,250.35,250.18,2020-04-06 08:34:00,2020-04-06,08:34:00
35,AAPL,250.345,250.41,250.15,250.22,250.35,2020-04-06 08:34:00,2020-04-06,08:34:00
36,AAPL,250.22,250.39,250.09,250.17,250.22,2020-04-06 08:34:00,2020-04-06,08:34:00
37,AAPL,250.12,250.1696,250.02,250.03,250.17,2020-04-06 08:34:00,2020-04-06,08:34:00
38,AAPL,250.02,250.26,250.0,250.11,250.03,2020-04-06 08:35:00,2020-04-06,08:35:00
39,AAPL,250.11,250.26,250.02700000000002,250.0847,250.11,2020-04-06 08:35:00,2020-04-06,08:35:00
40,AAPL,250.03,250.32,250.03,250.14,250.0847,2020-04-06 08:35:00,2020-04-06,08:35:00
41,AAPL,250.13,250.23,250.0,250.0,250.14,2020-04-06 08:35:00,2020-04-06,08:35:00
42,AAPL,250.0,250.1146,249.9,249.93,250.0,2020-04-06 08:35:00,2020-04-06,08:35:00
43,AAPL,249.92,249.9563,249.72,249.8235,249.93,2020-04-06 08:35:00,2020-04-06,08:35:00
44,AAPL,249.83,249.97,249.76,249.83,249.8235,2020-04-06 08:35:00,2020-04-06,08:35:00
45,AAPL,249.84,250.02,249.8,249.94,249.83,2020-04-06 08:36:00,2020-04-06,08:36:00
46,AAPL,249.95,250.17,249.94,250.005,249.94,2020-04-06 08:36:00,2020-04-06,08:36:00
47,AAPL,250.01,250.16,249.89,250.15,250.005,2020-04-06 08:36:00,2020-04-06,08:36:00
48,AAPL,250.15,250.24,250.042,250.18,250.15,2020-04-06 08:36:00,2020-04-06,08:36:00
